Faction;Formation;Unit;Type;Hex;Area;;
FINLAND;Army Group North;Finnish Corps;Infantry;1540;Helsinki;;
FINLAND;Army Group North;Finnish Corps;Infantry;1442;Helsinki;;
FINLAND;Army Group North;Finnish Corps;Infantry;1343;Helsinki;;
FINLAND;Army Group North;Finnish Corps;Infantry;1344;Helsinki;;
FINLAND;Army Group North;Finnish Corps Tavela;Infantry;1540;Helsinki;;
GERMANY;Army Group North;German Corps 18;Infantry;2235;East Prussia;;
GERMANY;Army Group North;German Panzer group 4;Infantry;2236;East Prussia;;
GERMANY;Army Group North;German Luftflotte 1;Air;2236;East Prussia;;
GERMANY;Army Group Center;German Corps 16;Infantry;2336;Lithuania;;
GERMANY;Army Group Center;German Panzer Group 3;Armor;2436;South of Kaunas;;
GERMANY;Army Group Center;German Corps 9;Infantry;2537;Warsaw axis;;
GERMANY;Army Group Center;German Luftflotte 2;Air;2637;Warsaw axis;;
GERMANY;Army Group Center;German Panzer Group 2;Armor;2637;Warsaw axis;;
GERMANY;Army Group Center;German Corps 2;Infantry;2634;Poland;;
GERMANY;Army Group South;German Corps 17;Infantry;3037;Carpathians north;;
GERMANY;Army Group South;German Luftflotte 4;Air;2937;Lvov sector;;
GERMANY;Army Group South;German Corps 6;Infantry;2837;Lvov north;;
GERMANY;Army Group South;German Corps 11;Infantry;3440;Romania;;
GERMANY;Army Group South;German Panzer group 1;Armor;2937;Lvov north;;
HUNGARY;Axis Allies;Hungarian Corps;Infantry;3137;Hungary frontier;;
ROMANIA;Axis Allies;Romanian Army 3;Infantry;3240;Romania;;
ROMANIA;Axis Allies;Romanian Army 1;Infantry;3241;Romania;;
ROMANIA;Axis Allies;Romanian Army 4;Infantry;3544;Constanta;;
USSR;Leningrad Front;Leningrad Forte;Forte;1546;Leningrad;;
USSR;Moscow;Moscow Forte;Forte;2154;Moscow;;
USSR;Leningrad Front;Soviet Army 27;Infantry;1546;Leningrad;;
USSR;Baltic Front;Soviet Army 11;Infantry;2237;Kaunas;;
USSR;Western Front;Soviet Army 8;Infantry;2136;Leningrad;;
USSR;Western Front;Soviet Army 3;Infantry;2338;Lithuania;;
USSR;Western Front;Soviet Army 10;Infantry;3437;Border sector;;
USSR;Western Front;Soviet Army 4;Infantry;2638;Brest-Litovsk;;
USSR;Western Front;Soviet Army 5;Infantry;2739;Brest-Litovsk;;
USSR;Western Front;Soviet Army 6;Infantry;2838;Brest-Litovsk;;
USSR;Southwestern Front;Soviet Army 26;Infantry;3038;Lvov salient;;
USSR;Southwestern Front;Soviet Army 12;Infantry;3139;Carpathians;;
USSR;Southwestern Front;Soviet Army 21;Infantry;3141;Cernauti;;
USSR;Southwestern Front;Soviet Army 36;Infantry;3343;Cernauti;;
USSR;Southwestern Front;Soviet Army 37;Infantry;3649;Sevastopol;;
USSR;Southern Front;Soviet Army 9;Infantry;3444;Odessa;;
USSR;Black Sea Fleet;Air 1;Air;2439;Vilnius;;
USSR;Black Sea Fleet;Air 2;Air;2942;Lvov north;;
USSR;Rifornimenti;Air 3;Air;Rifornimenti;;;
USSR;Rifornimenti;Soviet Army 62, 51, 50, 46,45,44,33,30, 23, 22, 16, 14, 7;Air;Rifornimenti;;;
